# Source: KKBox WSDM Churn Prediction Challenge
scorer,precision_at_k,precision_at_k_std,recall_at_k,roc_auc,base_rate,folds,lift_vs_revenue
random,0.0205,0.0057227615711297995,0.012261128724298668,0.5022624596162761,0.019408495061116825,4,0.2091836734693877
revenue,0.09800000000000003,0.01982422760159901,0.06119824727840069,0.6873886802987855,0.019408495061116825,4,1.0
logistic_finance,0.14450000000000002,0.028464890654980573,0.0893751469629703,0.7180704710307659,0.019408495061116825,4,1.4744897959183672
logistic,0.14900000000000002,0.02257210668059144,0.09237901984462657,0.7211605056074948,0.019408495061116825,4,1.520408163265306
logistic_tuned_finance,0.13175000000000003,0.02511349238955029,0.08085098510196484,0.731394224632988,0.019408495061116825,4,1.3443877551020407
logistic_tuned,0.12575000000000003,0.01996716053924543,0.07814703109854061,0.7389273471668241,0.019408495061116825,4,1.2831632653061222
xgboost_finance,0.3205,0.025084855989221867,0.1974800963010555,0.8331884378725101,0.019408495061116825,4,3.270408163265305
xgboost,0.32275,0.014306903927824511,0.1991210475762003,0.8370883332797874,0.019408495061116825,4,3.293367346938774
