# Source: KKBox WSDM Churn Prediction Challenge
fold,scorer,period_start,precision
0,xgboost,2015-09-08,0.3
0,xgboost,2015-09-15,0.28
0,xgboost,2015-09-22,0.4
0,xgboost,2015-09-29,0.36
0,xgboost,2015-10-06,0.34
0,xgboost,2015-10-13,0.36
0,xgboost,2015-10-20,0.28
0,xgboost,2015-10-27,0.3
0,xgboost,2015-11-03,0.24
0,xgboost,2015-11-10,0.22
0,xgboost,2015-11-17,0.22
0,xgboost,2015-11-24,0.14
0,xgboost,2015-12-01,0.24
0,xgboost,2015-12-08,0.3
0,xgboost,2015-12-15,0.24
0,xgboost,2015-12-22,0.3
0,xgboost,2015-12-29,0.38
1,random,2016-01-05,0.0
1,random,2016-01-12,0.0
1,random,2016-01-19,0.0
1,random,2016-01-26,0.04
1,random,2016-02-02,0.0
1,random,2016-02-09,0.02
1,random,2016-02-16,0.02
1,random,2016-02-23,0.02
1,random,2016-03-01,0.04
1,random,2016-03-08,0.0
1,random,2016-03-15,0.02
1,random,2016-03-22,0.04
1,random,2016-03-29,0.04
1,random,2016-04-05,0.02
1,random,2016-04-12,0.02
1,random,2016-04-19,0.02
1,random,2016-04-26,0.04
1,random,2016-05-03,0.0
1,random,2016-05-10,0.04
1,random,2016-05-17,0.0
1,revenue,2016-01-05,0.1
1,revenue,2016-01-12,0.1
1,revenue,2016-01-19,0.14
1,revenue,2016-01-26,0.16
1,revenue,2016-02-02,0.18
1,revenue,2016-02-09,0.16
1,revenue,2016-02-16,0.08
1,revenue,2016-02-23,0.06
1,revenue,2016-03-01,0.06
1,revenue,2016-03-08,0.1
1,revenue,2016-03-15,0.14
1,revenue,2016-03-22,0.14
1,revenue,2016-03-29,0.16
1,revenue,2016-04-05,0.1
1,revenue,2016-04-12,0.18
1,revenue,2016-04-19,0.16
1,revenue,2016-04-26,0.14
1,revenue,2016-05-03,0.14
1,revenue,2016-05-10,0.12
1,revenue,2016-05-17,0.12
1,logistic_finance,2016-01-05,0.22
1,logistic_finance,2016-01-12,0.12
1,logistic_finance,2016-01-19,0.1
1,logistic_finance,2016-01-26,0.16
1,logistic_finance,2016-02-02,0.18
1,logistic_finance,2016-02-09,0.16
